direction,group,area,type,vendor_name,normalized_name,slug,official_site,logo,logo_source_url,status,confidence,source,notes
IT-инфраструктура,IT-инфраструктура,ПО и управление,"Операционные системы, виртуализация и управление ИТ-инфраструктурой",Группа Астра,Группа Астра,gk-astra,https://astra.ru/,assets/img/logos/vendors/gk-astra.svg,https://astra.ru/upload/logotipy/logoGroupAstra.zip,logo_ready,high,codex_p0_vendor_coverage_20260702,Official logo package downloaded from Astra press/logo materials page; using color SVG from official ZIP.
IT-инфраструктура,IT-инфраструктура,ПО и управление,Резервное копирование,Киберпротект,Киберпротект,kiberprotekt,https://cyberprotect.ru/,assets/img/logos/vendors/kiberprotekt.svg,https://cyberprotect.ru/static/img/main_new/logo_10.svg,logo_ready,high,codex_p0_vendor_coverage_20260702,"Official SVG logo from cyberprotect.ru header; page title confirms backup, storage and data protection solutions."
IT-инфраструктура,IT-инфраструктура,Серверы и ЦОД,"Серверы, СХД, коммутаторы, инфраструктурные компоненты, рабочие станции",DEPO Computers,DEPO Computers,depo-computers,https://depo-computers.com/,assets/img/logos/partners/depo-computers.png,https://static.tildacdn.com/tild6264-3332-4438-a439-373663373064/Logo_DepoComputers.png,logo_ready,high,official_site_og_logo_asset,"IT-инфраструктура: серверы, СХД, коммутаторы, компьютеры и рабочие станции."
IT-инфраструктура,IT-инфраструктура,"Серверы, СХД и ПО","Серверы, системы хранения, коммутаторы, ПО, интегрированные решения",YADRO,YADRO,yadro,https://yadro.com/,assets/img/logos/partners/yadro-on-white.svg,https://yadro.com/assets/shared/svgs/logo_yadro_white_193x48.svg,logo_ready,high,official_site_header_asset,"IT-инфраструктура: серверы, СХД, сетевые коммутаторы, ПО и ЦОД-решения."
Автоматизация / диспетчеризация,Автоматизация / диспетчеризация,Автоматизация / диспетчеризация,Автоматизация / диспетчеризация,MasterSCADA,MasterSCADA,masterscada,https://iek-digital.ru/,assets/img/logos/partners/masterscada-clean.svg,https://profesko.ru/local/templates/profesco/img/companies/scada/scada-active.svg,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Акустические потолки,Акустические потолки,Акустические потолки,Акустические потолки,Ecophon,Ecophon,ecophon,https://www.ecophon.com/,assets/img/logos/partners/ecophon.svg,https://www.ecophon.com/globalassets/new-site/media/logo/ecophon-logo-2023r3_black-01.svg,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектура / алюминиевые профили,Архитектура / алюминиевые профили,Архитектура / алюминиевые профили,Архитектура / алюминиевые профили,АЛРОКС,АЛРОКС,alroks,https://alrox.ru/,assets/img/logos/partners/alrox.png,https://static.tildacdn.com/tild6536-3333-4262-a466-653230353139/_x0020_1_2.png,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектура / гипсокартон,Архитектура / гипсокартон,Архитектура / гипсокартон,Архитектура / гипсокартон,Магма,Магма,magma,https://magma-td.ru/catalog/gipsokartonnye-listy/gipsokarton-vlagostoykiy/,assets/img/logos/partners/magma-clean.png,https://magma-td.ru/img/logo.png?v=1.0,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектура / окна,Архитектура / окна,Архитектура / окна,Архитектура / окна,Kaleva,Kaleva,kaleva,https://www.okna.ru/,assets/img/logos/partners/kaleva.svg,https://www.okna.ru/local/templates/kaleva/images/logo.svg,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектура / окна,Архитектура / окна,Архитектура / окна,Архитектура / окна,Melke,Melke,melke,https://www.melke.ru/,assets/img/logos/partners/melke.webp,https://www.melke.ru/assets/logo/melke-logo-hor-dark-fry.webp,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектура / сухие смеси,Архитектура / сухие смеси,Архитектура / сухие смеси,Архитектура / сухие смеси,Волма,Волма,volma,https://www.volma.ru/,assets/img/logos/partners/volma.svg,https://www.volma.ru/img/a-logo.svg,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектура / сухое строительство,Архитектура / сухое строительство,Архитектура / сухое строительство,Архитектура / сухое строительство,Gyproc,Gyproc,gyproc,https://www.gyproc.ru/,assets/img/logos/partners/gyproc.png,,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектура / сухое строительство,Архитектура / сухое строительство,Архитектура / сухое строительство,Архитектура / сухое строительство,Кнауф,Кнауф,knauf,https://www.knauf.ru/,assets/img/logos/partners/knauf.svg,https://www.knauf.ru/local/templates/main/dist/images/header/logo.svg,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектурные решения,Архитектурные решения,Архитектурные решения,потолки и системы,Cesal,Cesal,cesal,https://cesal.ru,assets/img/logos/vendors/import-20260630/cesal.svg,https://www.cesal.ru/bitrix/templates/cesal/images/logo.svg,logo_ready,high,supplier_import_20260630_official_site,"Official CESAL logo from official site, normalized from supplier table row that contained category text instead of brand name."
Архитектурные решения,Архитектурные решения,Архитектурные решения,Окна,ORTEX,ORTEX,ortex,https://ortex.org,assets/img/logos/vendors/import-20260630/ortex.svg,https://www.ortex.org/local/templates/ortex/img/logo.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Окна, row 36. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,Окна,Thermo Glass,Thermo Glass,thermo-glass,https://thermo-glass.ru,assets/img/logos/vendors/import-20260630/thermo-glass.svg,https://thermo-glass.ru/wp-content/themes/thermoglass/assets/img/logo-new.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Окна, row 31. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,HPL,«Завод слоистых пластиков»,«Завод слоистых пластиков»,zavod-sloistyh-plastikov,https://sloplast.ru,assets/img/logos/vendors/import-20260630/zavod-sloistyh-plastikov.svg,https://sloplast.ru/local/templates/sloplast/img/logo_sloplast.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: HPL, row 3. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,GML панели,«Подольский завод стеновых и потолочных панелей» ООО «ПЗСПП»,«Подольский завод стеновых и потолочных панелей» ООО «ПЗСПП»,podolskiy-zavod-stenovyh-i-potolochnyh-paneley-ooo-pzspp,https://gipsometal.ru,assets/img/logos/vendors/import-20260630/podolskiy-zavod-stenovyh-i-potolochnyh-paneley-ooo-pzspp.png,https://gipsometal.ru/bitrix/templates/base/img/logo.png,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: GML панели, row 27. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,Плитка керамическая,"АО “ЗКИ” АО ""Завод керамических изделий г. Екатеринбург""","АО “ЗКИ” АО ""Завод керамических изделий г. Екатеринбург""",ao-zki-ao-zavod-keramicheskih-izdeliy-g-ekaterinburg,https://almaceramica.ru,assets/img/logos/vendors/import-20260630/ao-zki-ao-zavod-keramicheskih-izdeliy-g-ekaterinburg.png,https://almaceramica.ru/themes/almatheme/img/logo.png,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Плитка керамическая, row 22. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,GML панели,"Компания ""Ардко""","Компания ""Ардко""",kompaniya-ardko,https://ardco.ru,assets/img/logos/vendors/import-20260630/kompaniya-ardko.png,https://www.ardco.ru/upload/logo%202021.png,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: GML панели, row 16. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,ЛКМ,НПП СПЕКТР,НПП СПЕКТР,npp-spektr,https://certa.ru,assets/img/logos/vendors/import-20260630/npp-spektr.svg,https://certa.ru/local/templates/certa/assets/icons/logo-site.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: ЛКМ, row 9. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,Плитка керамическая,"ООО ""Параллель""","ООО ""Параллель""",ooo-parallel,https://unitile.ru,assets/img/logos/vendors/import-20260630/ooo-parallel.png,https://unitile.ru/local/templates/main/images/Unitile_logo_stock company.png,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Плитка керамическая, row 19. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,Окна,ООО «ОК-СИТИ»,ООО «ОК-СИТИ»,ooo-ok-siti,https://www.oknadomkom.ru,assets/img/logos/vendors/import-20260630/ooo-ok-siti.svg,https://www.oknadomkom.ru/include/img/logo2.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Окна, row 39. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,Окна,Оконные технологии,Оконные технологии,okonnye-tehnologii,https://okonteh.ru,assets/img/logos/vendors/import-20260630/okonnye-tehnologii.svg,https://okonteh.ru/wp-content/themes/okonteh/img/logo-color.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Окна, row 10. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,Окна,Производственная компания АВИ СтройКомплект,Производственная компания АВИ СтройКомплект,proizvodstvennaya-kompaniya-avi-stroykomplekt,https://www.avi-sk.com,assets/img/logos/vendors/import-20260630/proizvodstvennaya-kompaniya-avi-stroykomplekt.png,https://spezokna.com/wp-content/themes/specokna/images/header-logo.png,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Окна, row 48. Logo source: official site."
Архитектурные решения,Архитектурные решения,Архитектурные решения,ОБОИ,Стройобои,Стройобои,stroyoboi,https://malex.ru,assets/img/logos/vendors/import-20260630/stroyoboi.svg,https://malex.ru/pictures/logo.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: ОБОИ, row 14. Logo source: official site."
Архитектурные решения,Полы,Напольные покрытия,Напольные покрытия,Tarkett,Tarkett,tarkett,https://www.tarkett.ru/,assets/img/logos/partners/tarkett.svg,https://www.tarkett.ru/,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектурные решения,Полы,Фальшполы,Фальшполы,INTERFLOOR,INTERFLOOR,interfloor,https://interfloor.pro/,assets/img/logos/vendors/interfloor.png,https://interfloor.pro/wp-content/uploads/2022/03/group_2_1.png,logo_ready,high,official_p2_remaining_groups_20260706,Official site title identifies INTERFLOOR as production and installation of raised-floor systems; logo from official schema/header image.
Архитектурные решения,Стены / интерьерные панели,СМЛ,СМЛ панели,MAGELAN,MAGELAN,magelan,https://www.magelan-import.com/,assets/img/logos/vendors/magelan.svg,https://www.magelan-import.com/sites/all/themes/interface/layout/images/magelan.svg,logo_ready,high,official_p0_vendor_batch_20260703,Official MAGELAN site uses this SVG as the header logo background; catalog hint covers SML panels.
Архитектурные решения,Фасады,Фасадные системы,Фасадные системы,GRAND LINE,GRAND LINE,grand-line,https://www.grandline.ru/,assets/img/logos/partners/grand-line.png,https://www.grandline.ru/image/data/logo.png,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Архитектурные решения,Фасады,Фасадные системы,Фасадные системы,NORDFOX,NORDFOX,nordfox,https://nordfox.ru/,assets/img/logos/partners/nordfox.png,https://nordfox.ru/wp-content/uploads/2021/01/NF-Blue.png,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Благоустройство и озеленение,Благоустройство,Благоустройство,МАФ,Вивана,Вивана,vivana,https://vivana.ru,assets/img/logos/vendors/import-20260630/vivana.svg,https://vivana.ru/templates/vivana/images/logo.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: МАФ, row 7. Logo source: official site."
ВК / водоотведение,ВК / водоотведение,ВК / водоотведение,ВК / водоотведение,АктивСток,АктивСток,aktivstok,https://akstok.com/,assets/img/logos/partners/aktivstok.png,https://akstok.com/wp-content/uploads/2017/09/aktivstok.png,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
ВК / насосное оборудование,ВК / насосное оборудование,ВК / насосное оборудование,ВК / насосное оборудование,Wilo,Wilo,wilo,https://wilo.ru/,assets/img/logos/partners/wilo.png,,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Вертикальный транспорт,Автоматизация и диспетчеризация,Диспетчерская связь лифтов,Диспетчерская связь (Лифты),Обь Лифт-Комплекс ДС,Обь Лифт-Комплекс ДС,ob-lift-kompleks-ds,https://www.lkds.ru/,assets/img/logos/vendors/ob-lift-kompleks-ds.png,https://www.lkds.ru/local/templates/general/img/logo.png,logo_ready,high,official_p0_vendor_batch_20260703,Official LKDS site logo; catalog hint covers lift dispatch communication.
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,Doppler,Doppler,doppler,https://doppler-lifts.ru,assets/img/logos/vendors/import-20260630/doppler.svg,https://doppler-lifts.ru/wp-content/uploads/2023/04/Doppler_logo-1.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 28. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,Карачаровский Механический завод,Карачаровский Механический завод,karacharovskiy-mehanicheskiy-zavod,https://kmzlift.ru,assets/img/logos/vendors/import-20260630/karacharovskiy-mehanicheskiy-zavod.svg,https://kmzlift.ru/images_index/logo.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 5. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,МОСЛИФТ АО,МОСЛИФТ АО,moslift-ao,https://moslift.ru,assets/img/logos/vendors/import-20260630/moslift-ao.svg,https://moslift.ru/local/templates/moslift/assets/images/header-logo-first.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 30. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,ООО «ВТК «ПРОМТЕХ»,ООО «ВТК «ПРОМТЕХ»,ooo-vtk-promteh,https://vtk-promteh.ru,assets/img/logos/vendors/import-20260630/ooo-vtk-promteh.png,http://vtk-promteh.ru/a/promteh/files/66739/65607/logo_small.png,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 36. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,Отис - ранее METEOR Lift,Отис - ранее METEOR Lift,otis-ranee-meteor-lift,https://meteor.ru,assets/img/logos/vendors/import-20260630/otis-ranee-meteor-lift.png,https://meteor.ru/assets/img/blocks/synchro-logo.png,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 12. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,Приводная техника,Приводная техника,privodnaya-tehnika,https://privod.ru,assets/img/logos/vendors/import-20260630/privodnaya-tehnika.svg,https://privod.ru/bitrix/templates/privod/images/logo25years.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 26. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,САНКТ-ПЕТЕРБУРГСКИЙ ЛИФТОВОЙ ЗАВОД,САНКТ-ПЕТЕРБУРГСКИЙ ЛИФТОВОЙ ЗАВОД,sankt-peterburgskiy-liftovoy-zavod,https://lzspb.com,assets/img/logos/vendors/import-20260630/sankt-peterburgskiy-liftovoy-zavod.svg,https://lzspb.com/local/templates/lzspb/img/logo.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 20. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,Серпуховский лифтостроительный завод,Серпуховский лифтостроительный завод,serpuhovskiy-liftostroitelnyy-zavod,https://slz-lift.ru,assets/img/logos/vendors/import-20260630/serpuhovskiy-liftostroitelnyy-zavod.svg,https://slz-lift.ru/local/templates/slz-lift.v2/images/logo-grey.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 15. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,Современные лифтовые технологии,Современные лифтовые технологии,sovremennye-liftovye-tehnologii,https://sltlift.ru,assets/img/logos/vendors/import-20260630/sovremennye-liftovye-tehnologii.svg,https://sltlift.ru/markup/build/img/logo.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 25. Logo source: official site."
Вертикальный транспорт,Вертикальный транспорт,Вертикальный транспорт,Лифты,ЧЕЛЯБИНСКИЙ ЛИФТОСТРОИТЕЛЬНЫЙ ЗАВОД «ВИТЧЕЛ»,ЧЕЛЯБИНСКИЙ ЛИФТОСТРОИТЕЛЬНЫЙ ЗАВОД «ВИТЧЕЛ»,chelyabinskiy-liftostroitelnyy-zavod-vitchel,https://witchel.ru,assets/img/logos/vendors/import-20260630/chelyabinskiy-liftostroitelnyy-zavod-vitchel.png,https://witchel.ru/wp-content/uploads/2017/05/logo.png,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Лифты , row 17. Logo source: official site."
Водоподготовка,Водоподготовка,Водоподготовка,Водоподготовка,Аквалид,Аквалид,akvalid,https://aqualid.ru/,assets/img/logos/partners/aqualid.svg,https://static.tildacdn.com/tild6264-3533-4535-a366-363135623431/photo.svg,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Водоснабжение и водоотведение,Водоотведение,Промышленные водонагреватели,Накопительные электрические промышленные водонагреватели,РусИнж,РусИнж,rusinzh,https://www.rusinzh.ru/,assets/img/logos/vendors/rusinzh.svg,https://www.rusinzh.ru/wa-data/public/site/themes/supreme/img/logo.svg?v1631525408,logo_ready,high,official_p1_vendor_hint_batch_20260703,Official РусИнж header logo; catalog brand hint covers industrial electric storage water heaters.
Водоснабжение и водоотведение,Водоснабжение,Запорная арматура,Запорная и регулирующая арматура,Danfoss,Danfoss,danfoss,https://www.danfoss.com/en/,assets/img/logos/partners/danfoss.svg,https://www.danfoss.com/static/images/new-logo.svg,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Водоснабжение и водоотведение,Водоснабжение,Трубопроводные системы,Трубопроводные системы водоснабжения,REHAU,REHAU,rehau,https://rhsolutions.ru/,assets/img/logos/partners/rehau.svg,https://rhsolutions.ru/,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Водоснабжение и водоотведение,Водоснабжение,Трубопроводные системы,Трубопроводные системы водоснабжения,Sanext,Sanext,sanext,https://sanext.ru/,assets/img/logos/partners/sanext.svg,https://sanext.ru/,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Водоснабжение и водоотведение,Водоснабжение,Трубопроводные системы,Трубопроводные системы водоснабжения,Uponor,Uponor,uponor,https://uponor.company/,assets/img/logos/partners/uponor-clean.png,https://uponor.company/wp-content/themes/upanor-wp/images/logo.png,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Водоснабжение и водоотведение,Водоснабжение,Узлы учета воды,Узлы учета воды,ВЗЛЕТ,ВЗЛЕТ,vzljot,https://vzljot.ru/,assets/img/logos/vendors/vzljot.svg,https://vzljot.ru/#inline-header-logo,logo_ready,high,official_p2_remaining_groups_20260706,"Official site title identifies VZLJOT as manufacturer of liquid, heat and gas metering devices; logo extracted from official inline SVG header."
Водоснабжение и водоотведение,Наружные сети водоснабжения и канализации,Наружные сети водоснабжения и канализации,Наружные сети водоснабжения и канализации,ПОЛИПЛАСТИК,ПОЛИПЛАСТИК,polyplastic,https://www.polyplastic.ru/,assets/img/logos/vendors/polyplastic.svg,https://www.polyplastic.ru/sites/all/themes/polyplastic_rustamus/logo_blue.svg,logo_ready,high,official_p2_remaining_groups_20260706,Official site title identifies POLYPLASTIC Group as polymer pipe manufacturer; logo from official theme asset.
Газоснабжение,Газоанализаторы,Газоанализаторы,Газоанализаторы,НПП «ГазоАналит»,НПП «ГазоАналит»,gazoanalit,https://gazoanalit.ru/,assets/img/logos/vendors/gazoanalit.jpg,https://gazoanalit.ru/img/logo70-70.jpg,logo_ready,medium,official_catalog_hint_gas_analyzers_20260703,Official site identifies ООО НПП ГазоАналит as a manufacturer/system integrator of gas analysis systems. Official 70x70 logo image is used without redraw; mapped only to gas analyzers.
Доступная среда,Пандусы / подъемники / поручни,Доступная среда,"Пандусы, подъемники, поручни, рампы и трапы",Тифлоцентр,Тифлоцентр,tiflocentre,https://tiflocentre.ru/,assets/img/logos/vendors/tiflocentre.svg,https://tiflocentre.ru/images/site/tiflocentre-logo.svg,logo_ready,high,official_p1_vendor_hint_batch_20260703,Official Тифлоцентр logo from official site; catalog hints cover accessible environment groups.
Доступная среда,Парковочные места,Дорожные знаки,Дорожные знаки,РусДорЗнак,РусДорЗнак,rusdorznak,https://rusdorznak.ru/,assets/img/logos/vendors/rusdorznak.svg,https://rusdorznak.ru/img/logo.svg,logo_ready,high,official_p2_remaining_groups_20260706,Official site title identifies road signs; logo from official site asset.
ИТ-оборудование,ИТ-оборудование,ИТ-оборудование,ИТ-оборудование,iRU,iRU,iru,https://www.iru.ru/,assets/img/logos/partners/iru-dark.svg,https://static.iru.ru/img/logo.svg,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Изоляция / инженерная изоляция,Изоляция / инженерная изоляция,Изоляция / инженерная изоляция,Изоляция / инженерная изоляция,K-FLEX,K-FLEX,k-flex,https://kflex.ru/,assets/img/logos/partners/k-flex.svg,https://kflex.ru/markup/public/css/styles.css,logo_ready,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Инженерное оборудование,Пожарная безопасность,АПС,Пожарная сигнализация и СОУЭ,НВП Болид,НВП Болид,bolid,https://bolid.ru/production/,assets/img/logos/vendors/bolid.png,https://bolid.ru/bld/images/logo.png,logo_ready,high,codex_fire_p0_vendor_fill_20260702,"Official logo from bolid.ru. Mapped only to fire alarm, security-fire alarm, SOUE and emergency notification groups."
Инженерное оборудование,Пожарная безопасность,АПС,Охранно-пожарная сигнализация и СОУЭ,Рубеж,Рубеж,rubezh,https://products.rubezh.ru/,assets/img/logos/vendors/rubezh.svg,https://products.rubezh.ru/local/templates/td_rubezh_template/img/rubezh.svg,logo_ready,high,codex_fire_p0_vendor_fill_20260702,"Official SVG logo from products.rubezh.ru. Mapped to security/fire alarm, SOUE and emergency notification groups."
